背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,team,Name,salary
50,五十幡　亮汰,0.217,32.0,48.0,46.0,10.0,0.0,4.0,7.0,1.0,0.0,13.0,1.0,0.0,0.234,0.261,0.495,1.81,1.94,f,五十幡　亮汰,2400
58,奈良間　大己,0.256,27.0,48.0,43.0,11.0,1.0,1.0,1.0,2.0,1.0,15.0,2.0,0.0,0.304,0.326,0.63,3.7,3.75,f,奈良間　大己,1700
12,矢澤　宏太,0.22,17.0,43.0,41.0,9.0,1.0,2.0,1.0,2.0,0.0,10.0,0.0,0.0,0.256,0.317,0.573,2.92,3.0,f,矢澤　宏太,1750
12,矢澤　宏太,0.22,17.0,43.0,41.0,9.0,1.0,2.0,1.0,2.0,0.0,10.0,0.0,0.0,0.256,0.317,0.573,2.92,3.0,f,矢澤　宏太,1750
54,山縣　秀,0.22,20.0,42.0,41.0,9.0,0.0,2.0,1.0,0.0,0.0,8.0,1.0,0.0,0.22,0.22,0.439,1.38,1.46,f,山縣　秀,830
4,上川畑　大悟,0.135,15.0,39.0,37.0,5.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,3.0,0.179,0.135,0.315,-0.83,-0.66,f,上川畑　大悟,4400
61,今川　優馬,0.143,11.0,30.0,28.0,4.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.2,0.143,0.343,0.29,0.53,f,今川　優馬,1550
53,水谷　瞬,0.13,6.0,23.0,23.0,3.0,1.0,3.0,1.0,0.0,0.0,9.0,0.0,0.0,0.13,0.261,0.391,0.66,1.01,f,水谷　瞬,2700
56,細川　凌平,0.2,8.0,12.0,10.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.2,0.2,0.4,1.86,1.89,f,細川　凌平,1200
2,マルティネス,0.091,6.0,12.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.167,0.091,0.258,-0.65,-0.32,f,マルティネス,300
